Samplingpoint,Pollutant,Start,End,Value,Unit
NL/SPO-NL00247_06001_101,6001,2020-01-01 00:00:00,2020-01-01 01:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 01:00:00,2020-01-01 02:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 02:00:00,2020-01-01 03:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 03:00:00,2020-01-01 04:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 04:00:00,2020-01-01 05:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 05:00:00,2020-01-01 06:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 06:00:00,2020-01-01 07:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 07:00:00,2020-01-01 08:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 08:00:00,2020-01-01 09:00:00,20.5776,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 09:00:00,2020-01-01 10:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 10:00:00,2020-01-01 11:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 11:00:00,2020-01-01 12:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 12:00:00,2020-01-01 13:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 13:00:00,2020-01-01 14:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 14:00:00,2020-01-01 15:00:00,26.6732,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 15:00:00,2020-01-01 16:00:00,28.2706,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 16:00:00,2020-01-01 17:00:00,24.38,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 17:00:00,2020-01-01 18:00:00,20.754,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 18:00:00,2020-01-01 19:00:00,19.676,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 19:00:00,2020-01-01 20:00:00,21.5478,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 20:00:00,2020-01-01 21:00:00,21.244,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 21:00:00,2020-01-01 22:00:00,18.7842,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 22:00:00,2020-01-01 23:00:00,19.333,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-01 23:00:00,2020-01-02 00:00:00,24.7328,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 00:00:00,2020-01-02 01:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 01:00:00,2020-01-02 02:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 02:00:00,2020-01-02 03:00:00,26.4184,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 03:00:00,2020-01-02 04:00:00,28.38595,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 04:00:00,2020-01-02 05:00:00,26.5458,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 05:00:00,2020-01-02 06:00:00,25.7128,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 06:00:00,2020-01-02 07:00:00,19.872,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 07:00:00,2020-01-02 08:00:00,22.2338,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 08:00:00,2020-01-02 09:00:00,22.273,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 09:00:00,2020-01-02 10:00:00,22.0182,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 10:00:00,2020-01-02 11:00:00,17.7062,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 11:00:00,2020-01-02 12:00:00,18.5686,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 12:00:00,2020-01-02 13:00:00,17.1672,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 13:00:00,2020-01-02 14:00:00,19.97,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 14:00:00,2020-01-02 15:00:00,14.5016,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 15:00:00,2020-01-02 16:00:00,12.9042,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 16:00:00,2020-01-02 17:00:00,8.9254,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 17:00:00,2020-01-02 18:00:00,12.8258,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 18:00:00,2020-01-02 19:00:00,13.7764,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 19:00:00,2020-01-02 20:00:00,8.1375,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 20:00:00,2020-01-02 21:00:00,7.6073,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 21:00:00,2020-01-02 22:00:00,6.8478,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 22:00:00,2020-01-02 23:00:00,4.1949,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-02 23:00:00,2020-01-03 00:00:00,4.9623,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 00:00:00,2020-01-03 01:00:00,5.9599,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 01:00:00,2020-01-03 02:00:00,4.0675,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 02:00:00,2020-01-03 03:00:00,12.9728,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 03:00:00,2020-01-03 04:00:00,10.0132,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 04:00:00,2020-01-03 05:00:00,8.0081,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 05:00:00,2020-01-03 06:00:00,7.3496,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 06:00:00,2020-01-03 07:00:00,5.22,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 07:00:00,2020-01-03 08:00:00,5.7629,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-03 08:00:00,2020-01-03 09:00:00,7.2731,ug.m-3
