Datetime,pm25_value
2020-01-01 01:00:00,19.7171
2020-01-01 02:00:00,19.7171
2020-01-01 03:00:00,19.7171
2020-01-01 04:00:00,19.7171
2020-01-01 05:00:00,19.7171
2020-01-01 06:00:00,19.7171
2020-01-01 07:00:00,19.7171
2020-01-01 08:00:00,19.7171
2020-01-01 09:00:00,19.7171
2020-01-01 10:00:00,19.7171
2020-01-01 11:00:00,19.7171
2020-01-01 12:00:00,19.7171
2020-01-01 13:00:00,19.7171
2020-01-01 14:00:00,19.7171
2020-01-01 15:00:00,19.7171
2020-01-01 16:00:00,19.7171
2020-01-01 17:00:00,19.7171
2020-01-01 18:00:00,19.7171
2020-01-01 19:00:00,19.7171
2020-01-01 20:00:00,19.7171
2020-01-01 21:00:00,19.7171
2020-01-01 22:00:00,19.7171
2020-01-01 23:00:00,19.7171
2020-01-02 00:00:00,19.7171
2020-01-02 01:00:00,19.7171
2020-01-02 02:00:00,19.7171
2020-01-02 03:00:00,19.7171
2020-01-02 04:00:00,18.3236
2020-01-02 05:00:00,16.0157
2020-01-02 06:00:00,19.13795
2020-01-02 07:00:00,16.0157
2020-01-02 08:00:00,15.3689
2020-01-02 09:00:00,14.5506
2020-01-02 10:00:00,10.83295
2020-01-02 11:00:00,11.2039
2020-01-02 12:00:00,7.6553
2020-01-02 13:00:00,5.8658
2020-01-02 14:00:00,4.47325
2020-01-02 15:00:00,6.4798
2020-01-02 16:00:00,5.23225
2020-01-02 17:00:00,4.71335
2020-01-02 18:00:00,13.2913
2020-01-02 19:00:00,12.4975
2020-01-02 20:00:00,14.8985
2020-01-02 21:00:00,8.4756
2020-01-02 22:00:00,9.30465
2020-01-02 23:00:00,3.7368
2020-01-03 00:00:00,1.91845
2020-01-03 01:00:00,7.87335
2020-01-03 02:00:00,12.9664
2020-01-03 03:00:00,2.51035
2020-01-03 04:00:00,7.7146
2020-01-03 05:00:00,12.7812
2020-01-03 06:00:00,4.9814
2020-01-03 07:00:00,1.87825
2020-01-03 08:00:00,-0.52665
2020-01-03 09:00:00,3.83675
2020-01-03 10:00:00,11.8365
2020-01-03 11:00:00,2.0223
2020-01-03 12:00:00,-0.57325
2020-01-03 13:00:00,-2.4881
2020-01-03 14:00:00,10.60905
2020-01-03 15:00:00,-2.447
2020-01-03 16:00:00,-4.0316
2020-01-03 17:00:00,-1.2828
2020-01-03 18:00:00,3.66425
2020-01-03 19:00:00,3.8706
2020-01-03 20:00:00,1.39605
2020-01-03 21:00:00,4.4777
2020-01-03 22:00:00,5.17885
2020-01-03 23:00:00,4.91525
2020-01-04 00:00:00,5.9168
2020-01-04 01:00:00,5.0745
2020-01-04 02:00:00,5.2102
2020-01-04 03:00:00,3.6564
2020-01-04 04:00:00,3.849
2020-01-04 05:00:00,2.7529
2020-01-04 06:00:00,3.75885
2020-01-04 07:00:00,5.50715
2020-01-04 08:00:00,7.6671
2020-01-04 09:00:00,5.3327
2020-01-04 10:00:00,4.21945
2020-01-04 11:00:00,0.69
2020-01-04 12:00:00,2.95525
2020-01-04 13:00:00,6.5543
2020-01-04 14:00:00,4.82755
2020-01-04 15:00:00,0.26365
2020-01-04 16:00:00,0.0853
2020-01-04 17:00:00,5.1779
2020-01-04 18:00:00,5.833
2020-01-04 19:00:00,4.18955
2020-01-04 20:00:00,6.94775
2020-01-04 21:00:00,9.2444
2020-01-04 22:00:00,6.862
2020-01-04 23:00:00,6.85565
2020-01-05 00:00:00,7.30595
2020-01-05 01:00:00,4.1871
2020-01-05 02:00:00,3.39625
2020-01-05 03:00:00,5.39345
2020-01-05 04:00:00,3.3928
2020-01-05 05:00:00,1.1109
2020-01-05 06:00:00,1.0119
2020-01-05 07:00:00,2.90135
2020-01-05 08:00:00,2.08695
2020-01-05 09:00:00,1.4117
2020-01-05 10:00:00,4.8236
2020-01-05 11:00:00,8.1458
2020-01-05 12:00:00,9.7094
2020-01-05 13:00:00,7.6303
2020-01-05 14:00:00,7.4407
2020-01-05 15:00:00,9.6702
2020-01-05 16:00:00,5.0524
2020-01-05 17:00:00,5.685
2020-01-05 18:00:00,6.40385
2020-01-05 19:00:00,8.93865
2020-01-05 20:00:00,10.7041
2020-01-05 21:00:00,5.70755
2020-01-05 22:00:00,6.74245
2020-01-05 23:00:00,7.03645
2020-01-06 00:00:00,6.739
2020-01-06 01:00:00,4.9353
2020-01-06 02:00:00,4.33655
2020-01-06 03:00:00,6.2941
2020-01-06 04:00:00,9.24735
2020-01-06 05:00:00,9.6555
2020-01-06 06:00:00,19.03015
2020-01-06 07:00:00,16.981
2020-01-06 08:00:00,16.4861
2020-01-06 09:00:00,18.9312
2020-01-06 10:00:00,14.7123
2020-01-06 11:00:00,17.3338
2020-01-06 12:00:00,14.2223
2020-01-06 13:00:00,12.6004
2020-01-06 14:00:00,8.57995
2020-01-06 15:00:00,5.5586
2020-01-06 16:00:00,4.9285
2020-01-06 17:00:00,3.4516
2020-01-06 18:00:00,3.79805
2020-01-06 19:00:00,11.02405
2020-01-06 20:00:00,6.6454
2020-01-06 21:00:00,8.38835
2020-01-06 22:00:00,8.2894
2020-01-06 23:00:00,10.6208
2020-01-07 00:00:00,12.5122
2020-01-07 01:00:00,-0.57125
2020-01-07 02:00:00,10.8609
2020-01-07 03:00:00,9.4301
2020-01-07 04:00:00,7.11435
2020-01-07 05:00:00,2.92535
2020-01-07 06:00:00,4.4929
2020-01-07 07:00:00,3.80345
2020-01-07 08:00:00,3.6574
2020-01-07 09:00:00,3.3448
2020-01-07 10:00:00,4.04305
2020-01-07 11:00:00,5.92905
2020-01-07 12:00:00,8.725
2020-01-07 13:00:00,8.78185
2020-01-07 14:00:00,7.52985
2020-01-07 15:00:00,10.2484
2020-01-07 16:00:00,9.2782
2020-01-07 17:00:00,10.9197
2020-01-07 18:00:00,16.8634
2020-01-07 19:00:00,13.845
2020-01-07 20:00:00,9.29635
2020-01-07 21:00:00,10.69725
2020-01-07 22:00:00,4.07195
2020-01-07 23:00:00,6.9375
2020-01-08 00:00:00,8.4506
2020-01-08 01:00:00,7.07565
2020-01-08 02:00:00,5.58505
2020-01-08 03:00:00,5.74575
2020-01-08 04:00:00,3.58685
2020-01-08 05:00:00,1.742
2020-01-08 06:00:00,2.12715
2020-01-08 07:00:00,1.11675
2020-01-08 08:00:00,2.4922
2020-01-08 09:00:00,2.77395
2020-01-08 10:00:00,-3.50535
2020-01-08 11:00:00,-3.0134
2020-01-08 12:00:00,1.18785
2020-01-08 13:00:00,2.4084
2020-01-08 14:00:00,3.458
2020-01-08 15:00:00,5.0191
2020-01-08 16:00:00,3.75985
2020-01-08 17:00:00,5.80115
2020-01-08 18:00:00,3.8784
2020-01-08 19:00:00,2.5853
2020-01-08 20:00:00,4.5169
2020-01-08 21:00:00,6.07705
2020-01-08 22:00:00,6.8287
2020-01-08 23:00:00,5.4518
2020-01-09 00:00:00,6.079
2020-01-09 01:00:00,7.67395
2020-01-09 02:00:00,5.77715
2020-01-09 03:00:00,6.15985
2020-01-09 04:00:00,11.62675
2020-01-09 05:00:00,-0.59425
2020-01-09 06:00:00,8.0101
2020-01-09 07:00:00,3.70935
2020-01-09 08:00:00,-0.4385
2020-01-09 09:00:00,0.14755
2020-01-09 10:00:00,0.81835
2020-01-09 11:00:00,-0.2724
2020-01-09 12:00:00,1.03595
2020-01-09 13:00:00,3.25215
2020-01-09 14:00:00,1.88755
2020-01-09 15:00:00,1.04915
2020-01-09 16:00:00,2.6426
2020-01-09 17:00:00,1.48325
2020-01-09 18:00:00,0.075
2020-01-09 19:00:00,0.49985
2020-01-09 20:00:00,3.16935
2020-01-09 21:00:00,1.7974
2020-01-09 22:00:00,1.27895
